sequence,node_identifier,node_class,source_identity,exact_version,canonical_location,registration_state,responsible_owner,classification_basis
1,EDI-PC-001,Product Component,ARCHSPEC-0004:Simulation,ARCHSPEC-0004,docs/architecture/0004-canonical-responsibility.md#responsibility-modules,Current,Simulation,Canonical responsibility module.
2,EDI-PC-002,Product Component,ARCHSPEC-0004:Session Lifecycle,ARCHSPEC-0004,docs/architecture/0004-canonical-responsibility.md#responsibility-modules,Current,Session Lifecycle,Canonical responsibility module.
3,EDI-PC-003,Product Component,ARCHSPEC-0004:AUTH & Admission,ARCHSPEC-0004,docs/architecture/0004-canonical-responsibility.md#responsibility-modules,Current,AUTH & Admission,Canonical responsibility module.
4,EDI-PC-004,Product Component,ARCHSPEC-0004:Runtime Package,ARCHSPEC-0004,docs/architecture/0004-canonical-responsibility.md#responsibility-modules,Current,Runtime Package,Canonical responsibility module.
5,EDI-PC-005,Product Component,ARCHSPEC-0004:Content Admission,ARCHSPEC-0004,docs/architecture/0004-canonical-responsibility.md#responsibility-modules,Current,Content Admission,Canonical responsibility module.
6,EDI-PC-006,Product Component,ARCHSPEC-0004:Protocol & Replication,ARCHSPEC-0004,docs/architecture/0004-canonical-responsibility.md#responsibility-modules,Current,Protocol & Replication,Canonical responsibility module.
7,EDI-PC-007,Product Component,ARCHSPEC-0004:Observability,ARCHSPEC-0004,docs/architecture/0004-canonical-responsibility.md#responsibility-modules,Current,Observability,Canonical responsibility module.
8,EDI-PC-008,Product Component,ARCHSPEC-0004:Trainee Performance Assessment Module,ARCHSPEC-0004,docs/architecture/0004-canonical-responsibility.md#responsibility-modules,Current,Trainee Performance Assessment Module,Canonical responsibility module.
9,EDI-PC-009,Product Component,ARCHSPEC-0004:Prediction,ARCHSPEC-0004,docs/architecture/0004-canonical-responsibility.md#responsibility-modules,Current,Prediction,Canonical responsibility module.
10,EDI-PC-010,Product Component,ARCHSPEC-0004:Presentation,ARCHSPEC-0004,docs/architecture/0004-canonical-responsibility.md#responsibility-modules,Current,Presentation,Canonical responsibility module.
11,EDI-PC-011,Product Component,ARCHSPEC-0004:Input & Interaction,ARCHSPEC-0004,docs/architecture/0004-canonical-responsibility.md#responsibility-modules,Current,Input & Interaction,Canonical responsibility module.
