retired_identifier,source,replacement,reason,previous_statement
PROCESS-VERIFICATION-METHOD-001,docs/requirements/training-simulation-verification-plan.md,VERIFY-RESULT-001,ADR-0014 replaces full-package process with incremental acceptance; applicable product criteria remain mandatory.,**PROCESS-VERIFICATION-METHOD-001** — Every obligation MUST receive at least one Required verification method.
PROCESS-VERIFICATION-METHOD-002,docs/requirements/training-simulation-verification-plan.md,VERIFY-RESULT-001,ADR-0014 replaces full-package process with incremental acceptance; applicable product criteria remain mandatory.,**PROCESS-VERIFICATION-METHOD-002** — Every Required method assigned to an obligation MUST produce obligation-level `Pass` before that obligation can receive `Pass`.
PROCESS-VERIFICATION-METHOD-003,docs/requirements/training-simulation-verification-plan.md,VERIFY-RESULT-001,ADR-0014 replaces full-package process with incremental acceptance; applicable product criteria remain mandatory.,"**PROCESS-VERIFICATION-METHOD-003** — A Supporting method MAY add corroborating evidence but MUST NOT produce obligation-level `Pass`, compensate for a failed or blocked Required method, or be required for acceptance."
PROCESS-VERIFICATION-METHOD-004,docs/requirements/training-simulation-verification-plan.md,VERIFY-RESULT-001,ADR-0014 replaces full-package process with incremental acceptance; applicable product criteria remain mandatory.,"**PROCESS-VERIFICATION-METHOD-004** — When more than one default assignment rule applies to an obligation, their Required methods MUST accumulate unless an approved Verification Method Exception explicitly removes one."
PROCESS-VERIFICATION-DEFAULT-INSPECTION-001,docs/requirements/training-simulation-verification-plan.md,VERIFY-METHOD-001,ADR-0014 replaces full-package process with incremental acceptance; applicable product criteria remain mandatory.,"**PROCESS-VERIFICATION-DEFAULT-INSPECTION-001** — Inspection MUST be a Required method for obligations concerning documents, declared content or configuration, target platforms, deployment properties, and other directly observable structural constraints."
PROCESS-VERIFICATION-DEFAULT-TEST-001,docs/requirements/training-simulation-verification-plan.md,VERIFY-METHOD-001,ADR-0014 replaces full-package process with incremental acceptance; applicable product criteria remain mandatory.,"**PROCESS-VERIFICATION-DEFAULT-TEST-001** — Automated Test MUST be a Required method for deterministic state transitions, functional rules, boundaries, and prohibited behavior that can be exercised through controlled inputs."
PROCESS-VERIFICATION-DEFAULT-ANALYSIS-001,docs/requirements/training-simulation-verification-plan.md,VERIFY-METHOD-001,ADR-0014 replaces full-package process with incremental acceptance; applicable product criteria remain mandatory.,"**PROCESS-VERIFICATION-DEFAULT-ANALYSIS-001** — Requirements governing physics, ballistics, Acoustic Propagation, Blast Overpressure, explosions, or injury outcomes MUST use both Analysis against versioned Approved Profiles and Automated Test under reproducible conditions as Required methods."
PROCESS-VERIFICATION-DEFAULT-DEMONSTRATION-001,docs/requirements/training-simulation-verification-plan.md,VERIFY-METHOD-001,ADR-0014 replaces full-package process with incremental acceptance; applicable product criteria remain mandatory.,**PROCESS-VERIFICATION-DEFAULT-DEMONSTRATION-001** — An assignment for a complete operational flow or access-mode parity MUST include Demonstration as a Supporting method for process completeness; its result is non-dispositive under `PROCESS-VERIFICATION-METHOD-003` and MUST NOT replace objective evidence.
PROCESS-VERIFICATION-DEFAULT-EVALUATION-001,docs/requirements/training-simulation-verification-plan.md,VERIFY-METHOD-001,ADR-0014 replaces full-package process with incremental acceptance; applicable product criteria remain mandatory.,"**PROCESS-VERIFICATION-DEFAULT-EVALUATION-001** — Representative Evaluation MUST be assigned as a Required method only when military validity, tactical perception, or the adequacy of represented behavior cannot be established from objective technical evidence alone, and all applicable technical methods MUST also remain Required."
PROCESS-VERIFICATION-EVALUATION-APPLICABILITY-001,docs/requirements/training-simulation-verification-plan.md,VERIFY-METHOD-001,ADR-0014 replaces full-package process with incremental acceptance; applicable product criteria remain mandatory.,"**PROCESS-VERIFICATION-EVALUATION-APPLICABILITY-001** — Before a verification procedure is approved, the method assignment for every stable obligation key MUST record whether its acceptance depends on tactical adequacy, human perception, credible military behavior, or validity for military training that objective technical evidence alone cannot establish, together with the rationale for that conclusion."
PROCESS-VERIFICATION-EVALUATION-APPLICABILITY-002,docs/requirements/training-simulation-verification-plan.md,VERIFY-METHOD-001,ADR-0014 replaces full-package process with incremental acceptance; applicable product criteria remain mandatory.,"**PROCESS-VERIFICATION-EVALUATION-APPLICABILITY-002** — When any dependency stated by `PROCESS-VERIFICATION-EVALUATION-APPLICABILITY-001` applies, Representative Evaluation MUST be a Required method for that obligation."
