sequence,design_commitment_id,governing_sdd,decision_state,applicability_state,realization_state,evidence_state,disposition,requirement_traces,architecture_claim_traces,sad_view_traces,responsible_owner,verification_approach
1,DC-PROCESS-001,SDD-0001,Proposed,Included,Not Implemented,Planned,Governs,REQ-RUNTIME-EXTERNAL-LIFECYCLE-001|REQ-RUNTIME-CONTROL-LOSS-001,AC-DEPLOYMENT-003|AC-CROSSCUTTING-003,EDI-VIEW-002|EDI-VIEW-006,Runtime composition,DAC-PROCESS-001
2,DC-PROCESS-002,SDD-0001,Proposed,Included,Not Implemented,Planned,Governs,REQ-RUNTIME-LAUNCH-SPECIFICATION-001|REQ-RUNTIME-LAUNCH-SPECIFICATION-002,AC-DEPLOYMENT-003|AC-CROSSCUTTING-002,EDI-VIEW-002|EDI-VIEW-004,Runtime composition,DAC-PROCESS-002
3,DC-PROCESS-003,SDD-0001,Proposed,Included,Not Implemented,Planned,Governs,REQ-RUNTIME-EXTERNAL-LIFECYCLE-001,AC-DEPLOYMENT-003,EDI-VIEW-006,Runtime composition,DAC-PROCESS-003
4,DC-PROCESS-004,SDD-0001,Proposed,Included,Not Implemented,Planned,Governs,REQ-RUNTIME-CONTROL-LOSS-001,AC-DEPLOYMENT-008|AC-CONCURRENCY-008,EDI-VIEW-006,Runtime composition,DAC-PROCESS-004
5,DC-PROCESS-005,SDD-0001,Proposed,Included,Not Implemented,Planned,Governs,REQ-RUNTIME-EXTERNAL-LIFECYCLE-001,AC-CROSSCUTTING-003,EDI-VIEW-006,Runtime composition,DAC-PROCESS-005
6,DC-PROCESS-006,SDD-0001,Proposed,Included,Not Implemented,Planned,Governs,REQ-RUNTIME-LAUNCH-SPECIFICATION-002|REQ-RUNTIME-READINESS-001,AC-CROSSCUTTING-004|AC-MEMORY-006,EDI-VIEW-004|EDI-VIEW-006,Runtime composition,DAC-PROCESS-006
7,DC-PROCESS-007,SDD-0001,Proposed,Included,Not Implemented,Planned,Governs,REQ-RUNTIME-EXTERNAL-LIFECYCLE-001,AC-DEPLOYMENT-008,EDI-VIEW-006,Runtime composition,DAC-PROCESS-007
8,DC-PROCESS-008,SDD-0001,Proposed,Included,Not Implemented,Planned,Governs,REQ-RUNTIME-EXTERNAL-LIFECYCLE-001|REQ-RUNTIME-LAUNCH-SPECIFICATION-001,AC-CROSSCUTTING-002|AC-CROSSCUTTING-003,EDI-VIEW-002|EDI-VIEW-006,Runtime composition,DAC-PROCESS-008
9,DC-PROCESS-009,SDD-0001,Proposed,Included,Not Implemented,Planned,Governs,REQ-RUNTIME-CONTROL-LOSS-001|REQ-RUNTIME-LAUNCH-SPECIFICATION-002,AC-CROSSCUTTING-004|AC-MEMORY-006,EDI-VIEW-006|EDI-VIEW-009,Runtime composition,DAC-PROCESS-009
10,DC-PROCESS-010,SDD-0001,Proposed,Included,Not Implemented,Planned,Governs,REQ-RUNTIME-EXTERNAL-LIFECYCLE-001,AC-CROSSCUTTING-003|AC-CROSSCUTTING-009,EDI-VIEW-006|EDI-VIEW-007,Runtime composition,DAC-PROCESS-010
11,DC-PROCESS-011,SDD-0001,Proposed,Included,Not Implemented,Planned,Governs,REQ-RUNTIME-LAUNCH-SPECIFICATION-002,AC-DEPLOYMENT-003|AC-CROSSCUTTING-004,EDI-VIEW-004|EDI-VIEW-006,Runtime composition,DAC-PROCESS-011
12,DC-PROCESS-012,SDD-0001,Proposed,Included,Not Implemented,Planned,Governs,REQ-RUNTIME-LAUNCH-SPECIFICATION-002,AC-DECOMPOSITION-004|AC-CROSSCUTTING-005,EDI-VIEW-003|EDI-VIEW-004,Runtime composition,DAC-PROCESS-012
13,DC-PROCESS-013,SDD-0001,Proposed,Included,Not Implemented,Planned,Governs,REQ-RUNTIME-LAUNCH-SPECIFICATION-001|REQ-RUNTIME-LAUNCH-SPECIFICATION-002,AC-CROSSCUTTING-002|AC-CROSSCUTTING-003,EDI-VIEW-002|EDI-VIEW-006,Runtime composition,DAC-PROCESS-013
14,DC-PROCESS-014,SDD-0001,Proposed,Included,Not Implemented,Planned,Governs,REQ-RUNTIME-LAUNCH-SPECIFICATION-002|REQ-RUNTIME-READINESS-001,AC-DEPLOYMENT-003|AC-CROSSCUTTING-004,EDI-VIEW-004|EDI-VIEW-006,Runtime composition,DAC-PROCESS-014
15,DC-PROCESS-015,SDD-0001,Proposed,Included,Not Implemented,Planned,Governs,REQ-RUNTIME-LAUNCH-SPECIFICATION-002,AC-DECOMPOSITION-004|AC-CROSSCUTTING-005,EDI-VIEW-003,Runtime composition,DAC-PROCESS-015
16,DC-AUTHORITY-001,SDD-0002,Proposed,Included,Not Implemented,Planned,Governs,REQ-RUNTIME-READINESS-001|REQ-AUTHORITY-SINGLE-SESSION-001,AC-RUNTIME-003|AC-DEPLOYMENT-003,EDI-VIEW-002|EDI-VIEW-006,Session Authority composition,DAC-AUTHORITY-001
17,DC-AUTHORITY-002,SDD-0002,Proposed,Included,Not Implemented,Planned,Governs,REQ-RUNTIME-LAUNCH-SPECIFICATION-001|REQ-RUNTIME-LAUNCH-SPECIFICATION-002|REQ-CONTENT-ACTIVATION-001,AC-CROSSCUTTING-002|AC-RESOURCE-006,EDI-VIEW-002|EDI-VIEW-004,Session Authority composition,DAC-AUTHORITY-002
18,DC-AUTHORITY-003,SDD-0002,Proposed,Included,Not Implemented,Planned,Governs,REQ-RUNTIME-READINESS-001,AC-DEPLOYMENT-003|AC-CROSSCUTTING-004,EDI-VIEW-004|EDI-VIEW-006,Session Authority composition,DAC-AUTHORITY-003
19,DC-AUTHORITY-004,SDD-0002,Proposed,Included,Not Implemented,Planned,Governs,REQ-AUTHORITY-TERMINAL-SETTLEMENT-001|REQ-AUTHORITY-TERMINAL-SHUTDOWN-001,AC-DEPLOYMENT-008|AC-RETENTION-005,EDI-VIEW-006|EDI-VIEW-009,Session Authority composition,DAC-AUTHORITY-004
20,DC-AUTHORITY-005,SDD-0002,Proposed,Included,Not Implemented,Planned,Governs,REQ-STATE-CONSISTENCY-001,AC-CONCURRENCY-001|AC-CONCURRENCY-002,EDI-VIEW-003|EDI-VIEW-006,Session Authority composition,DAC-AUTHORITY-005
21,DC-AUTHORITY-006,SDD-0002,Proposed,Included,Not Implemented,Planned,Governs,NFR-OBSERVABILITY-INTEGRITY-001|REQ-RUNTIME-CONTROL-LOSS-001,AC-CROSSCUTTING-009|AC-MEMORY-005,EDI-VIEW-006|EDI-VIEW-009,Session Authority composition,DAC-AUTHORITY-006
22,DC-AUTHORITY-007,SDD-0002,Proposed,Included,Not Implemented,Planned,Governs,REQ-RUNTIME-LAUNCH-SPECIFICATION-002|REQ-RUNTIME-READINESS-001,AC-CROSSCUTTING-004|AC-MEMORY-006,EDI-VIEW-003|EDI-VIEW-004,Session Authority composition,DAC-AUTHORITY-007
23,DC-AUTHORITY-008,SDD-0002,Proposed,Included,Not Implemented,Planned,Governs,REQ-RUNTIME-LAUNCH-SPECIFICATION-001|REQ-AUTHORITY-SINGLE-SESSION-001,AC-CROSSCUTTING-002|AC-RUNTIME-003,EDI-VIEW-002|EDI-VIEW-004,Session Authority composition,DAC-AUTHORITY-008
24,DC-AUTHORITY-009,SDD-0002,Proposed,Included,Not Implemented,Planned,Governs,REQ-AUTHORITY-TERMINAL-SETTLEMENT-001|REQ-AUTHORITY-TERMINAL-SHUTDOWN-001,AC-RETENTION-005|AC-DEPLOYMENT-008,EDI-VIEW-006|EDI-VIEW-009,Session Authority composition,DAC-AUTHORITY-009
25,DC-CLIENT-001,SDD-0003,Proposed,Included,Not Implemented,Planned,Governs,REQ-RUNTIME-LAUNCH-SPECIFICATION-001|REQ-RUNTIME-LAUNCH-SPECIFICATION-002|REQ-CONTENT-ACTIVATION-001,AC-CROSSCUTTING-002|AC-RESOURCE-006,EDI-VIEW-002|EDI-VIEW-004,Trainee Client composition,DAC-CLIENT-001
26,DC-CLIENT-002,SDD-0003,Proposed,Included,Not Implemented,Planned,Governs,REQ-RUNTIME-EXTERNAL-LIFECYCLE-001|REQ-READINESS-001,AC-DEPLOYMENT-003,EDI-VIEW-006,Trainee Client composition,DAC-CLIENT-002
27,DC-CLIENT-003,SDD-0003,Proposed,Included,Not Implemented,Planned,Governs,REQ-CLIENT-RECONNECT-001|REQ-SESSION-CONNECTION-001,AC-DEPLOYMENT-004,EDI-VIEW-006,Trainee Client composition,DAC-CLIENT-003
28,DC-CLIENT-004,SDD-0003,Proposed,Included,Not Implemented,Planned,Governs,REQ-ADMISSION-FAILURE-001,AC-CROSSCUTTING-003,EDI-VIEW-006,Trainee Client composition,DAC-CLIENT-004
29,DC-CLIENT-005,SDD-0003,Proposed,Included,Not Implemented,Planned,Governs,REQ-VOLUNTARY-LEAVE-CONFIRMATION-001,AC-CONCURRENCY-005|AC-RETENTION-003,EDI-VIEW-006,Trainee Client composition,DAC-CLIENT-005
30,DC-CLIENT-006,SDD-0003,Proposed,Included,Not Implemented,Planned,Governs,REQ-RUNTIME-CONTROL-LOSS-001,AC-DEPLOYMENT-008,EDI-VIEW-006,Trainee Client composition,DAC-CLIENT-006
31,DC-CLIENT-007,SDD-0003,Proposed,Included,Not Implemented,Planned,Governs,REQ-RUNTIME-LAUNCH-SPECIFICATION-002,AC-CROSSCUTTING-004|AC-MEMORY-006,EDI-VIEW-003|EDI-VIEW-004,Trainee Client composition,DAC-CLIENT-007
32,DC-CLIENT-008,SDD-0003,Proposed,Included,Not Implemented,Planned,Governs,REQ-RUNTIME-LAUNCH-SPECIFICATION-001|REQ-SESSION-CONNECTION-001,AC-CROSSCUTTING-002|AC-DEPLOYMENT-004,EDI-VIEW-002|EDI-VIEW-004,Trainee Client composition,DAC-CLIENT-008
33,DC-CLIENT-009,SDD-0003,Proposed,Included,Not Implemented,Planned,Governs,REQ-STATE-CONSISTENCY-001,AC-CONCURRENCY-001|AC-CONCURRENCY-002,EDI-VIEW-003|EDI-VIEW-005,Trainee Client composition,DAC-CLIENT-009
34,DC-CLIENT-010,SDD-0003,Proposed,Included,Not Implemented,Planned,Governs,REQ-RUNTIME-LAUNCH-SPECIFICATION-002,AC-CROSSCUTTING-004|AC-DEPLOYMENT-008,EDI-VIEW-004|EDI-VIEW-006,Trainee Client composition,DAC-CLIENT-010
35,DC-COOKER-001,SDD-0004,Proposed,Included,Not Implemented,Planned,Governs,REQ-CONTENT-COOKER-TOOL-001,AC-TOOLING-001,EDI-VIEW-002|EDI-VIEW-006,Content Cooker Tool,DAC-COOKER-001
36,DC-COOKER-002,SDD-0004,Proposed,Included,Not Implemented,Planned,Governs,REQ-COOKING-JOB-SPECIFICATION-001,AC-TOOLING-002,EDI-VIEW-004,Content Cooker Tool,DAC-COOKER-002
37,DC-COOKER-003,SDD-0004,Proposed,Included,Not Implemented,Planned,Governs,REQ-CONTENT-PROCESSING-001,AC-TOOLING-003|AC-RESOURCE-001,EDI-VIEW-004,Content Cooker Tool,DAC-COOKER-003
38,DC-COOKER-004,SDD-0004,Proposed,Included,Not Implemented,Planned,Governs,REQ-CONTENT-PAIR-ATOMIC-001|REQ-CONTENT-RELEASE-001,AC-TOOLING-004|AC-RESOURCE-008,EDI-VIEW-004|EDI-VIEW-006,Content Cooker Tool,DAC-COOKER-004
39,DC-COOKER-005,SDD-0004,Proposed,Included,Not Implemented,Planned,Governs,REQ-CONTENT-PAIR-ATOMIC-001,AC-TOOLING-004,EDI-VIEW-006,Content Cooker Tool,DAC-COOKER-005
40,DC-COOKER-006,SDD-0004,Proposed,Included,Not Implemented,Planned,Governs,REQ-COOKING-JOB-PROVENANCE-001,AC-TOOLING-005,EDI-VIEW-004|EDI-VIEW-009,Content Cooker Tool,DAC-COOKER-006
41,DC-COOKER-007,SDD-0004,Proposed,Included,Not Implemented,Planned,Governs,DEFERRED-CONTENT-COOKER-PLATFORM-001,AC-TOOLING-001,EDI-VIEW-001|EDI-VIEW-009,Project owner,DAC-COOKER-007
42,DC-COOKER-008,SDD-0004,Proposed,Included,Not Implemented,Planned,Governs,REQ-COOKING-JOB-SPECIFICATION-001|REQ-CONTENT-SIGNING-001,AC-TOOLING-002|AC-RESOURCE-004,EDI-VIEW-004|EDI-VIEW-006,Content Cooker Tool,DAC-COOKER-008
43,DC-COOKER-009,SDD-0004,Proposed,Included,Not Implemented,Planned,Governs,REQ-CONTENT-COOKER-TOOL-001,AC-TOOLING-001|AC-TOOLING-005,EDI-VIEW-002|EDI-VIEW-006,Content Cooker Tool,DAC-COOKER-009
44,DC-COOKER-010,SDD-0004,Proposed,Included,Not Implemented,Planned,Governs,REQ-COOKING-JOB-SPECIFICATION-001|REQ-CONTENT-PROCESSING-001,AC-TOOLING-002|AC-TOOLING-003,EDI-VIEW-004,Content Cooker Tool,DAC-COOKER-010
45,DC-COOKER-011,SDD-0004,Proposed,Included,Not Implemented,Planned,Governs,REQ-CONTENT-PAIR-ATOMIC-001,AC-TOOLING-004|AC-RESOURCE-008,EDI-VIEW-006,Content Cooker Tool,DAC-COOKER-011
46,DC-COOKER-012,SDD-0004,Proposed,Included,Not Implemented,Planned,Governs,REQ-COOKING-JOB-SPECIFICATION-001|REQ-CONTENT-PROCESSING-001,AC-TOOLING-002|AC-TOOLING-003,EDI-VIEW-004|EDI-VIEW-006,Content Cooker Tool,DAC-COOKER-012
47,DC-COOKER-013,SDD-0004,Proposed,Included,Not Implemented,Planned,Governs,REQ-CONTENT-SIGNING-001,AC-RESOURCE-004|AC-TOOLING-005,EDI-VIEW-006|EDI-VIEW-009,Content Cooker Tool,DAC-COOKER-013
48,DC-COOKER-014,SDD-0004,Proposed,Included,Not Implemented,Planned,Governs,REQ-CONTENT-PAIR-ATOMIC-001,AC-TOOLING-004,EDI-VIEW-006,Content Cooker Tool,DAC-COOKER-014
