identifier,historical_finding
AMBIGUITY-CROSS-CUTTING-ARCHITECTURE-001,"`Resolved; project-owner amendment confirmed`. Cross-cutting configuration, stable outcomes, resource lifetime, test seams, and evidence hooks remain responsibility-owned rather than forming a generic manager. Architecture decision, applicability, realization, and evidence states remain independent. Verification accumulates static closure, shared adapter contracts, native executable closure, and representative sequences. The Documentation Inventory is current; the Baseline Applicability, Baseline Artifact, and Evidence Dependency Inventories remain explicit approval blockers rather than inferred results."
AMBIGUITY-PLATFORM-DEPLOYMENT-001,"`Resolved; project-owner amendment confirmed`. Runtimes expose an orchestration-neutral immutable launch, readiness, endpoint, capacity, shutdown and exit contract without a Sacramento supervisor. Application, content and launch artifacts remain separate; exact compatibility is pre-approved; updates and rollbacks affect only later processes; one authority loss ends only its Training Session; and replacement always creates a new Training Session."
AMBIGUITY-PRODUCTION-SECURITY-SCOPE-001,"`Resolved; project-owner amendment confirmed`. The Development Baseline preserves `AUTH & Admission` through a permissive non-production adapter using declared Synthetic Identities and unauthenticated test evidence. Common Admission identity, uniqueness, lifecycle, evidence-minimization, destination and receipt seams remain mode-applicable; production authentication, authorization, protected exchange, durable AUTH audit, revocation, authenticated evidence custody and operational trust remain specified for a future Production Security Baseline and cannot be satisfied by the permissive adapter."
AMBIGUITY-TECHNICAL-REMOVAL-001,"`Resolved; project-owner amendment confirmed`. Confirmed connection loss and explicit departure during active simulation both cause one irreversible Technical Removal with cause `Disconnected`; the Admission ends, associated items become `Withdrawn`, the removed Trainee cannot act or rejoin, and the simulation continues. The outcome is not Fatal, injury, incapacity, casualty or task error, and each Scenario deterministically governs the result when a Team becomes empty."
AMBIGUITY-SESSION-EVIDENCE-001,"`Resolved; project-owner amendment confirmed`. Live Training Session state remains process-local and is never restored. Reconstruction evidence and the terminal result form an immutable Session Evidence Set; ordinary record export is asynchronous and cannot gate simulation steps, while clean process exit requires a durable terminal handoff. Retained evidence is indefinite in the initial baseline and is not a resumable checkpoint."
AMBIGUITY-TRUST-DOMAIN-001,"`Resolved; project-owner amendment confirmed`. Content signing, package validation, identity issuance and administrative evidence custody use independently provisioned trust references and cannot validate themselves. Rotation affects only processes launched after activation; active processes retain their immutable launch views, and identity revocation after Admission does not retroactively remove that Admission."
AMBIGUITY-IMMEDIATELY-001,"`Resolved; independent review passed`. The canonical-ordering convention defines `immediately` as an effect within the state transition accepting its trigger and before later events or simulation advancement. It explicitly excludes wall-clock latency, which remains owned by the separate NFR baseline. The interview-blind reviewer independently restated the same boundary."
AMBIGUITY-MALFUNCTION-SEQUENCE-001,"`Resolved; independent review passed`. The selected corrective sequence is bound to the current Weapon Malfunction, exact approved weapon profile, and current physical and mechanical state. Interruption preserves state, and a later command derives a valid sequence from that state rather than resuming an obsolete stored animation step."
AMBIGUITY-HAND-SIGNAL-VISIBILITY-001,"`Resolved; independent review passed`. Team membership does not participate in Hand Signal visibility. Equivalent authoritative viewpoints and environmental and visual conditions receive the same represented gesture state regardless of Team, while geometry, distance, lighting, viewpoint and Obscurants may still affect perceptibility. Paired team-swap and one-factor physical tests provide a finite boundary."
AMBIGUITY-CONTENT-VERSION-REJECTION-001,"`Resolved; project-owner amendment confirmed`. Compatibility is asserted only by a signature whose signer is authorized by the exact Content Signing Trust Reference for the role and runtime content contract. Missing content, invalid signature, unauthorized signer, broken pair, malformed structure, integrity failure and materialization failure prevent process startup with stable non-sensitive release, pack, Scenario and trust-reference identities; a client/authority pair mismatch terminates before Admission."
